,Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary
,46275521,1659288,Ceftazidime,Branded Drug Comp,Standard,0,17,Drug,RxNorm
,46275522,1659289,Ceftazidime,Branded Drug,Standard,17,17,Drug,RxNorm
,1776761,346219,Ceftazidime,Clinical Drug Comp,Standard,0,16,Drug,RxNorm
,19058210,567242,Ceftazidime,Branded Drug Comp,Standard,0,16,Drug,RxNorm
,19057790,240447,Ceftazidime,Clinical Drug,Standard,0,16,Drug,RxNorm
,19032304,206404,Ceftazidime,Branded Drug,Standard,16,16,Drug,RxNorm
,40025077,94251,Ceftazidime,Branded Drug Form,Standard,0,11,Drug,RxNorm
,19058221,567245,Ceftazidime,Branded Drug Comp,Standard,0,9,Drug,RxNorm
,19032307,206407,Ceftazidime,Branded Drug,Standard,9,9,Drug,RxNorm
,19032383,206423,Ceftazidime,Branded Drug,Standard,7,7,Drug,RxNorm
,19046427,567261,Ceftazidime,Branded Drug Comp,Standard,0,7,Drug,RxNorm
,1776783,393376,Ceftazidime,Clinical Drug Comp,Standard,0,4,Drug,RxNorm
,19101717,389025,Ceftazidime,Clinical Drug,Standard,0,4,Drug,RxNorm
,40240571,1114500,Ceftazidime,Branded Drug,Standard,4,4,Drug,RxNorm
,40240572,1114499,Ceftazidime,Branded Drug Comp,Standard,0,4,Drug,RxNorm
,19118124,567260,Ceftazidime,Branded Drug Comp,Standard,0,4,Drug,RxNorm
,19032382,206422,Ceftazidime,Branded Drug,Standard,4,4,Drug,RxNorm
,40025076,362977,Ceftazidime,Branded Drug Form,Standard,0,4,Drug,RxNorm
,41425224,OMOP2623186,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,41417481,OMOP2615443,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41424758,OMOP2622720,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,41415300,OMOP2613262,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,41420728,OMOP2618690,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,41361482,OMOP2559444,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,41368955,OMOP2566917,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41371237,OMOP2569199,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41361481,OMOP2559443,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41365920,OMOP2563882,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41368542,OMOP2566504,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,41361824,OMOP2559786,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,41371026,OMOP2568988,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,41366279,OMOP2564241,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,41372371,OMOP2570333,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,41367786,OMOP2565748,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,41373126,OMOP2571088,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,41364453,OMOP2562415,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,41368954,OMOP2566916,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41363713,OMOP2561675,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41364452,OMOP2562414,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41362612,OMOP2560574,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,41365533,OMOP2563495,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,41367785,OMOP2565747,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,41373125,OMOP2571087,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,41361247,OMOP2559209,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,41370515,OMOP2568477,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41367058,OMOP2565020,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,41368543,OMOP2566505,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,41367965,OMOP2565927,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43176778,OMOP508943,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,43143621,OMOP508944,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43154765,OMOP508945,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43198737,OMOP508946,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43143622,OMOP508947,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43198738,OMOP508948,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43165761,OMOP508949,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43154766,OMOP508950,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,35416539,OMOP1150124,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,35416545,OMOP1150130,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,35416542,OMOP1150127,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,35416543,OMOP1150128,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,35416541,OMOP1150126,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,35416540,OMOP1150125,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,35416546,OMOP1150131,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,35416544,OMOP1150129,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,36897260,OMOP1001240,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,43669955,OMOP742249,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43849808,OMOP742250,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,36897259,OMOP1000017,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43741776,OMOP742261,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43831725,OMOP742276,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43669957,OMOP742283,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43777684,OMOP742284,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43741778,OMOP742281,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43597709,OMOP742282,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43777683,OMOP742280,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43795586,OMOP742262,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43831721,OMOP742266,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43651959,OMOP742267,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43759591,OMOP742268,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43723640,OMOP742269,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43651958,OMOP742264,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43831722,OMOP742271,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43831723,OMOP742272,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43669956,OMOP742265,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43615692,OMOP742263,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43814292,OMOP877687,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43814293,OMOP877688,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43849809,OMOP742251,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43597708,OMOP742256,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43777681,OMOP742257,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43723639,OMOP742258,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43813701,OMOP742259,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43687822,OMOP742253,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43651957,OMOP742254,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43615691,OMOP742252,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43724264,OMOP877689,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43688442,OMOP877690,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43741779,OMOP742285,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43813702,OMOP742286,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43831726,OMOP742277,Ceftazidime,Quant Clinical Drug,Non-Standard,0,0,Drug,RxNorm Extension
,36897258,OMOP994523,Ceftazidime,Quant Clinical Box,Non-Standard,0,0,Drug,RxNorm Extension
,43741777,OMOP742278,Ceftazidime,Quant Clinical Box,Non-Standard,0,0,Drug,RxNorm Extension
,43598337,OMOP877686,Ceftazidime,Quant Clinical Drug,Non-Standard,0,0,Drug,RxNorm Extension
,43652531,OMOP877691,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,43615693,OMOP742289,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43742405,OMOP877692,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43670595,OMOP877693,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43687823,OMOP742290,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43615695,OMOP742292,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43597710,OMOP742293,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43615694,OMOP742291,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43669958,OMOP742288,Ceftazidime,Quant Clinical Drug,Non-Standard,0,0,Drug,RxNorm Extension
,41374127,OMOP2572089,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,41375520,OMOP2573482,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41375447,OMOP2573409,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,41373602,OMOP2571564,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,41374564,OMOP2572526,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43219261,OMOP517962,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,43175490,OMOP517963,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43219262,OMOP517964,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43197364,OMOP517965,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43219263,OMOP517966,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,35418542,OMOP1152127,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,35418543,OMOP1152128,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,35418544,OMOP1152129,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,35418546,OMOP1152131,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,35418545,OMOP1152130,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43176868,OMOP510788,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,43154862,OMOP510789,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43187811,OMOP510790,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43198846,OMOP510791,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43176869,OMOP510792,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,35418557,OMOP1152142,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,35418563,OMOP1152148,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,35418559,OMOP1152144,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,35418566,OMOP1152151,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,35418567,OMOP1152152,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,35418599,OMOP1152184,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,35418602,OMOP1152187,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,35418601,OMOP1152186,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,35418603,OMOP1152188,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,35418598,OMOP1152183,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,35418604,OMOP1152189,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,35418600,OMOP1152185,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,35418605,OMOP1152190,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43220681,OMOP511278,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,43154863,OMOP511279,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43165855,OMOP511280,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43209661,OMOP511281,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43198849,OMOP511282,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43198850,OMOP511284,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43176871,OMOP511285,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43209662,OMOP511286,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43634712,OMOP879666,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,43832593,OMOP758567,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43634638,OMOP758581,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43832592,OMOP758566,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43760393,OMOP758568,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43760394,OMOP758569,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43598514,OMOP758573,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43652723,OMOP758574,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43724454,OMOP758576,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43760395,OMOP758577,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43688633,OMOP758571,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43598515,OMOP758578,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43760396,OMOP758579,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43832594,OMOP758572,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43796384,OMOP758570,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43616545,OMOP879668,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43670847,OMOP879669,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43742592,OMOP758589,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43670777,OMOP758585,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43832595,OMOP758586,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43760397,OMOP758587,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43598516,OMOP758588,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43742591,OMOP758583,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43652724,OMOP758584,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43670778,OMOP758590,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43868770,OMOP758580,Ceftazidime,Quant Clinical Drug,Non-Standard,0,0,Drug,RxNorm Extension
,35418606,OMOP1152191,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,35418613,OMOP1152198,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,35418612,OMOP1152197,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,35418610,OMOP1152195,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,35418611,OMOP1152196,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,35418608,OMOP1152193,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,35418609,OMOP1152194,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,35418607,OMOP1152192,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,36897301,OMOP1001949,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,43814450,OMOP758597,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43634639,OMOP758596,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43850576,OMOP758598,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43814451,OMOP758602,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43616469,OMOP758604,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43634640,OMOP758600,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43706537,OMOP758601,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43760398,OMOP758599,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43832661,OMOP879673,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43742665,OMOP879674,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43778557,OMOP879671,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43616547,OMOP879672,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43616546,OMOP879670,Ceftazidime,Quant Clinical Drug,Non-Standard,0,0,Drug,RxNorm Extension
,43724456,OMOP758595,Ceftazidime,Quant Clinical Drug,Non-Standard,0,0,Drug,RxNorm Extension
,43724455,OMOP758591,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,43850575,OMOP758593,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43814449,OMOP758594,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,35783407,OMOP2784868,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,35783498,OMOP2784959,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,35783351,OMOP2784812,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,35783471,OMOP2784932,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,21049017,OMOP315716,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,21088245,OMOP315718,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,21117687,OMOP315719,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,21039222,OMOP315717,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43598517,OMOP758615,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,43724458,OMOP758616,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,43634641,OMOP758617,Ceftazidime,Quant Branded Drug,Standard,0,0,Drug,RxNorm Extension
,43598518,OMOP758618,Ceftazidime,Quant Branded Box,Standard,0,0,Drug,RxNorm Extension
,43796385,OMOP758619,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,43724457,OMOP758614,Ceftazidime,Marketed Product,Standard,0,0,Drug,RxNorm Extension
,41389932,OMOP2587894,Ceftazidime,Quant Clinical Drug,Standard,0,0,Drug,RxNorm Extension
,41390169,OMOP2588131,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41389676,OMOP2587638,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
,41390168,OMOP2588130,Ceftazidime,Quant Clinical Box,Standard,0,0,Drug,RxNorm Extension
